,word0,word1,word2,word3,word4,word5,word6,word7,word8,word9,weight0,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,weight9,period I,period II,period III,period IV
0,method,ms,liquid,chromatography,mass,phase,quantification,detection,samples,assay,5120.532870295457,3317.8598360209835,2536.3199631091625,1987.799384682286,1801.408108192732,1728.727499066727,1620.2179620853312,1611.7677658326356,1593.372515902773,1486.7547038836126,566,588,558,411
1,cbz,tb,carbamazepine,ltg,fpia,tuberculosis,rifampicin,pht,isoniazid,11,1085.062499943892,679.0624999376898,609.998968042014,456.67583829468856,424.33567704168297,398.1602170117052,352.98115463935517,333.57813115435255,259.06249993402207,225.49097006481995,87,41,54,41
2,vancomycin,antibiotic,antibiotics,beta,meropenem,ill,critically,infections,antimicrobial,lactam,1251.296674491176,904.1504211314347,788.6963110698538,716.1573268923613,562.4763894289221,524.9737819903307,513.6256429071432,500.3395617156763,425.27604478270877,424.65048869277115,83,114,288,286
3,group,vpa,phenytoin,epilepsy,ci,associated,antiepileptic,valproic,lamotrigine,free,1585.7419802436639,1219.9747648560215,1043.4065949953695,709.9817871940729,692.284447097706,616.8538993549225,602.137697719588,584.3125511754828,580.4041183164524,578.1879545063143,198,128,213,233
4,tacrolimus,mpa,transplant,recipients,auc,transplantation,csa,renal,cyclosporine,tac,2839.911175288087,2568.062499930254,2127.7136131709253,1516.2049507131212,1479.8974645041146,1441.4740036043697,1438.4827654336473,1189.6993833730182,1117.2927902930835,1101.062499059029,184,423,269,155
5,drug,genetic,toxicity,associated,activity,cells,polymorphisms,inhibitors,resistance,agents,570.4946787052135,543.0816354406874,507.9374302864208,460.61964193285445,437.65866283209687,432.53646589716226,431.9855318282665,429.85252034807,422.0421795709107,363.13488471383266,98,265,188,133
6,digoxin,assay,method,tkis,erlotinib,digitoxin,day,dasatinib,imipramine,interference,1304.06242903597,274.15732428051575,159.73912920583882,153.20579545383532,144.7394125120313,143.06249994202327,142.50560892012766,128.51024488861708,124.25964121819881,123.23036964058947,115,37,22,17
7,voriconazole,antifungal,drug,toxicity,imatinib,agents,interactions,invasive,adverse,posaconazole,1608.1567583981202,625.6916902450514,594.844153637323,585.1540983610183,537.6306740141213,511.9312754548325,494.98783949745285,470.58572888610684,409.57640045161935,403.31800690922836,154,221,268,183
8,assay,samples,ms,immunoassay,free,binding,emit,assays,methods,hplc,1480.3373921324076,1376.7023272769516,858.1777709503283,853.2288924159349,617.1781502696109,547.7326281901263,514.3572869229694,503.9653416751765,502.4643800240902,446.6437087744512,436,192,159,68
9,hiv,antiretroviral,ritonavir,efavirenz,infected,lopinavir,nevirapine,protease,method,samples,1137.6605511496577,542.5097090607222,520.7091071081354,501.46217318955826,474.01777955832654,419.0101738177379,333.00622942551126,310.5983684762804,308.1025502517318,279.397172238761,62,192,70,27
10,age,cmin,renal,years,body,cancer,children,posaconazole,weight,fu,767.9803295599844,613.2303462441346,585.0668157059539,547.471015997654,541.4787624149077,538.6603021355731,455.5491584995479,453.80699300132983,429.0227819198081,416.06249992108764,122,141,184,122
11,anti,infliximab,ibd,remission,ifx,outcomes,inflammatory,tnf,associated,cd,1113.8072908294102,965.0624999462577,798.5951573836819,764.9553455319249,745.3996041663833,693.6948521852964,629.0750953173141,525.2156178675452,520.5053335289783,477.96455155271616,75,90,368,378
12,cyp2d6,pregnancy,women,cyp2c19,genotype,ratio,methadone,metabolism,maternal,dose,806.0624999351645,728.3333681256521,621.6293073988251,556.5590992876281,509.5210884670602,428.51410519878687,420.5110530855014,399.64088169934627,370.5652069742381,358.1924205822666,186,198,150,106
13,clozapine,adherence,olanzapine,hair,antipsychotic,smoking,schizophrenia,data,adverse,antipsychotics,1305.4335623075278,571.0221332013457,490.4467354153221,404.0380742607016,385.4883316006632,332.37262933588624,329.6229297353297,316.81103531909804,312.8001854153663,312.36848962234166,157,222,199,159
14,model,population,clearance,pk,data,vancomycin,parameters,auc,variability,target,3376.896586589418,2194.9315088695907,2094.10334631841,1681.7889843230266,1558.974427997354,1491.7831306077721,1114.9594519122459,1055.503189187532,1054.4116698000319,979.9974171058254,398,390,412,404
15,saliva,oral,dbs,theophylline,fluid,sampling,administration,metabolites,thiopurine,samples,1096.0624998364726,906.5161703237925,807.4614002553204,691.1477593513646,510.38155459547045,480.2035388787461,463.37191957710576,348.29253642753264,339.9794195803756,307.5964687863144,252,179,101,53
