,word0,word1,word2,word3,word4,word5,word6,word7,word8,word9,weight0,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,weight9,period I,period II,period III,period IV
0,methadone,milk,thc,clz,hair,maternal,mitotane,breast,umbilical,cord,30.406517455458733,15.43210643185011,13.419784825552657,12.87629517928307,11.980674862352368,9.872701539263048,9.460152201176621,7.96352006498887,7.8975399212863495,7.7844764231285115,22,22,20,16
1,emit,fpia,immunoassay,assay,digoxin,hplc,free,ria,phenytoin,polarization,40.51068275630087,40.36600456571218,36.326181547558924,36.00288409292573,35.23619812651041,27.34121858291767,24.60131960274692,23.428845833195975,22.851190608055713,19.31713616983239,313,95,47,21
2,dbs,csf,vams,microsampling,dps,dried,sn,volumetric,irinotecan,38,21.238350530252305,20.75212263978444,15.43683681455491,8.428390868665343,7.4813416380398445,6.940926309471825,6.8623613150078,6.846919389419146,6.716807552156398,6.11092902222804,10,3,5,8
3,arc,vrcz,nt,ppi,biologicals,bromperidol,atg,clo,adp,clopidogrel,10.957943614899872,9.350100240930965,5.574937825520297,3.4327510500536067,2.8481320895540554,2.555708295591666,2.444861004726801,2.370690266335285,2.2043109085239085,2.036001793191561,6,4,4,3
4,vancomycin,tacrolimus,mpa,model,data,auc,renal,pk,target,exposure,175.79197895251883,137.9189869996303,125.60139000474733,121.20144496015342,120.42685615984671,118.92465412657411,116.60566866465527,111.23284536906733,104.98683766822444,102.07577002067852,1373,1887,2309,1965
5,abiraterone,van,enzalutamide,sers,polymyxin,noacs,pentobarbital,aptamer,tzd,d4a,6.947883784986894,3.7495217369918246,3.724749649994176,3.6720341280808997,3.1921776735302085,2.9854460675930587,2.741771683183681,2.4914781973282794,2.195704269184758,2.1934199440103406,7,2,7,5
6,bupivacaine,ertapenem,mekc,cloxacillin,lignocaine,ki,fur,und,pharmakopsychiatrie,neuropsychopharmakologie,4.443141069256804,4.221205913211663,3.979646336599081,3.7811046356794145,3.3370131586238316,3.047300011269315,2.991864654238307,2.8721456046640945,2.872145604664094,2.872145604664094,2,2,1,4
7,clozapine,cyp2d6,risperidone,cyp2c19,antidepressants,cyp3a5,genotype,warfarin,aripiprazole,metabolism,54.47033451315958,44.645031610663125,32.40860976150831,30.667691284926086,27.801985405571724,26.323729193932323,24.948041250361847,23.76520458339766,22.93147901034511,22.771464287209067,217,203,150,105
8,dasatinib,imatinib,tkis,nilotinib,sorafenib,lcm,mexiletine,ponatinib,cml,dehydroaripiprazole,11.826195411863877,11.620870975877562,10.33384915343823,8.732999117158418,7.723132996136725,6.7287555781711035,6.05262122108938,5.97874864644778,5.2346240995098245,4.924401102984607,5,6,8,4
9,method,ms,liquid,assay,phase,detection,chromatography,extraction,quantification,samples,200.27281813115914,179.90057579502977,108.67575762337026,101.7575286091195,95.6197670936432,92.82088816461483,86.61006729700122,84.88459563354951,84.14988348623376,83.90484360241362,763,723,667,469
10,colistin,clb,ipv,abk,ld,faee,promoter,meconium,ra,il,18.432028624518882,7.430353652572066,6.393139853871091,5.381565168161118,5.096543807522411,5.009462534461504,4.7596003196208825,4.759339110419082,4.69551613160615,4.062428038351034,7,15,10,5
11,infliximab,ibd,ifx,tnf,anti,adalimumab,remission,cd,inflammatory,bowel,43.560325085200496,41.92437219898355,41.463184200465236,38.6370247165641,36.44279553134883,29.781896830969732,25.923265440550136,24.29890324620382,24.072729056665114,23.36380324349697,4,11,44,43
12,odv,ppcs,ven,rtx,article,norfluoxetine,modafinil,meps,pcz,aid,4.331255191223492,4.083693378249076,3.8273224875167373,3.370522721828321,3.2243268831015373,3.2061814204847217,3.1554363090324444,3.0470624822879797,2.0840877348430653,2.0600183956162366,9,1,5,5
13,megx,pcz,hair,hal,reboxetine,amisulpride,tubes,letermovir,separator,cortisol,7.615619664717579,7.525726604598329,5.040145267660597,4.1233683233884815,3.894725342927129,3.7587632590689877,3.519294335111156,3.191862927124838,3.1046310458664665,3.0214215962176767,9,7,5,7
14,vpa,hiv,cbz,phenytoin,pregnancy,epilepsy,antiretroviral,age,carbamazepine,aeds,68.65129939311976,58.44060907362586,48.78864587064113,47.02604162133649,42.76745473009964,37.38800331160423,36.24968166589463,35.99588723136828,35.25959635289073,34.243946017656526,387,411,204,103
15,digoxin,amiodarone,dlis,smx,digitoxin,docetaxel,spironolactone,tmp,sdc,dexamethasone,19.41380098206445,8.949554748585287,6.880983006209697,6.471904667414994,5.712393797652443,5.427110733546807,5.1380985282364495,4.928234930903358,4.6958788519059995,4.647780369743185,14,10,5,6
16,morphine,vcz,map,tubes,ceftolozane,mianserin,m3g,hpph,sst,m6g,6.483840293371331,5.790467474750731,4.8841160758410815,4.650239103711819,4.13468797060624,3.9535775366117654,3.666061834442349,3.399620028269856,3.188674552472318,2.8709387418219636,11,7,3,1
17,rbv,ribavirin,ust,lzd,ziprasidone,ct,cs,ari,clia,levomepromazine,10.943891582593377,10.469074336296767,8.462477562309973,5.7476404479360905,5.208531877074306,4.215783311155319,4.1589299687643235,3.934043682048564,3.818530420434702,3.713080096373863,7,6,5,5
18,fu,bu,nicotine,busulfan,sers,smoking,cotinine,dpd,raman,caz,28.711007899083995,18.7026665423956,12.487167498848741,9.259828374379694,6.647426703672954,5.79431167733825,5.756915347740037,5.339748441191622,4.6448203241758526,4.12371241809656,7,6,4,1
