,word0,word1,word2,word3,word4,word5,word6,word7,word8,word9,weight0,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,weight9,period I,period II,period III,period IV
0,risk,adverse,associated,ci,events,digoxin,years,lithium,data,factors,1976.4234715414145,1310.3350205215127,1155.7104060574918,1097.1498746200843,917.4938931752564,871.5630325208537,792.8408577567418,735.3787022745537,593.686270361595,589.7122787407462,2102,1775,995,743
1,tacrolimus,transplant,transplantation,liver,recipients,renal,cyclosporine,csa,rejection,tac,2484.9104344732045,1870.4569795947884,1420.0965666021966,1347.1614659216693,1336.1313784557633,1254.0004429146122,1093.4982681113695,1062.2809416050588,929.9196841078996,913.0868224943227,224,397,206,175
2,imatinib,survival,sedation,cancer,phase,months,leukemia,chemotherapy,progression,kinase,696.6993995804548,682.8343971194616,575.6078272047534,481.6988562328996,440.92296125497205,396.68112162625886,382.5085946436007,378.36666739085865,371.8945042065866,347.63316184677143,98,175,249,216
3,cells,cell,tumor,expression,vivo,il,cancer,vitro,tissue,biomarkers,1097.764367700953,1022.3141638103639,647.4754741506789,647.269058350917,612.6963955676597,566.5481685799971,501.5755329641415,445.80028556149256,422.149955369584,402.95001803978005,138,213,226,298
4,anti,ifx,laboratory,infliximab,mtx,tnf,antibodies,ibd,assays,testing,1172.009730032968,813.8703844605697,788.9266874057538,741.2333189655582,729.0555443529034,673.1498799749057,619.607295568096,615.2384256248885,568.6182664655365,544.3080537754463,74,133,177,315
5,symptoms,group,disorder,olanzapine,weeks,children,side,methadone,depression,antipsychotic,654.6388937468994,600.0367780820936,509.0355288514547,508.5158051142368,484.63333190202485,444.08997788970794,438.4491550126479,434.4729771504983,429.8541071603444,413.84580225704,244,221,234,199
6,warfarin,inr,anticoagulation,oral,hcv,bleeding,dabigatran,anticoagulant,hepatitis,time,2692.0553435162665,2387.9920389731665,1461.6253553651673,886.7929204098983,852.1508831565334,822.4507886317665,757.3270142405798,666.3704384888484,662.3510768515674,650.6042119725454,139,282,479,276
7,pain,nurses,administration,nursing,infusion,acute,csf,cardiac,chronic,nurse,1080.2815943180824,671.3302478074002,534.878478559268,402.81690408463965,395.2345558603137,384.29752871048555,373.5624227563894,336.69444082549893,322.8360908840939,317.5592579683619,360,313,140,64
8,adherence,health,data,hospital,medical,compliance,pharmacists,cost,system,self,3097.3530518505754,1215.184516118162,1182.9734248703376,889.1609166082343,862.3847324137032,859.5459245986607,855.0064478791554,765.6814638172053,753.2887551202142,687.9583835548788,382,522,432,340
9,pressure,heart,hypertension,bone,baseline,bp,failure,months,changes,increase,651.5044018334099,607.0840137121728,572.463866752741,505.49337007212483,493.90122287087604,441.4624860632534,402.93719320784896,360.245660703502,320.72983546299537,284.00810899020155,120,178,209,130
10,method,ms,samples,assay,liquid,chromatography,mass,detection,lc,quantification,4132.342847427281,3464.275479114844,2716.013220507311,2268.8921031764175,2102.2976532607595,1732.0829998807403,1579.4404837206819,1349.0962064786102,1337.0490157033214,1256.542727706167,366,403,425,650
11,heparin,platelet,aptt,anti,xa,bleeding,time,activity,act,activated,1750.4451750935234,1065.0536818766798,974.7447432548527,877.8889649633275,801.9552243209894,797.7271895711625,743.8096021085535,590.448024676717,553.0990420644288,536.3932803438759,211,288,262,289
12,model,auc,pk,population,clearance,data,sampling,variability,exposure,time,2340.121891294848,2295.36601225154,1480.392546606998,1345.8578303362378,1315.2859367240717,1213.7268693632536,1180.1313296299636,1050.2592492397928,1028.8404353076999,1000.1486470113927,238,301,260,421
13,group,groups,control,placebo,insulin,randomized,diabetes,trial,baseline,days,5287.26496879463,1797.241612850973,1407.7793082678506,1209.4091653504013,1032.4865709430912,1005.4227725541447,990.0978884186198,921.7079023680394,891.854755523715,805.0737666627506,139,186,326,340
14,hiv,clozapine,viral,antiretroviral,art,infected,load,cd4,children,resistance,2416.930621435456,1242.9949298289935,985.506155792981,933.4266813519102,826.1811647380971,796.3586312998285,667.8345722165112,638.4061480624631,570.019787501687,465.6350410199266,120,266,211,135
15,adverse,tb,cancer,reactions,development,chemotherapy,imaging,agents,tuberculosis,pet,1235.076247267873,913.7120038587083,841.2933657578872,655.5313384572593,608.6500850569957,595.8980583422613,486.4708196023811,468.74703927149966,468.54288246008247,457.32218022486734,209,303,296,220
16,hair,drug,days,activity,day,tuberculosis,sputum,19,covid,copd,410.32049022542805,301.052679140689,269.74974074956447,258.5587402474426,247.12832663325977,231.04830294035563,209.71131952250852,198.51372864698348,191.96333014763658,186.98784966320588,67,94,119,105
17,vancomycin,antibiotic,voriconazole,toxicity,children,infections,antibiotics,dosage,target,data,1304.6013937041687,1151.2541254326745,1049.176055272869,946.362556136854,935.7933146281314,900.2284042810576,883.0736762994868,836.0417463875268,773.4855662522555,745.5408151623492,432,421,470,627
