,word0,word1,word2,word3,word4,word5,word6,word7,word8,word9,weight0,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,weight9,period I,period II,period III,period IV
0,risk,adverse,ci,associated,events,digoxin,years,lithium,factors,incidence,1897.3778388453968,1322.5913257422226,1246.379742009449,1212.1966905536826,994.2284977869002,903.3369894290624,780.6567759187919,728.6474007737447,598.8527581610396,592.1656904338853,2068,1719,981,722
1,tacrolimus,transplant,transplantation,liver,recipients,renal,mpa,cyclosporine,rejection,tac,2481.634344613194,1837.553887334235,1468.3238939126525,1398.8781710503522,1322.9332055245911,1241.6800966873122,1083.669826751696,1055.4008477894806,929.8328981455248,916.025166168183,212,389,199,164
2,group,survival,pulmonary,cf,months,lung,progression,groups,bis,sunitinib,555.6035557376631,428.7419006888225,360.71797392824095,331.5034495308945,272.82191775341136,260.4657346900387,243.14404477092563,215.4030083940297,208.0499999951576,195.84099520142883,75,75,134,136
3,cells,cell,tumor,expression,vivo,urine,il,cancer,vitro,tissue,1109.7238167972575,976.9555660712463,694.9646640971558,645.3851002212864,638.6223977152639,554.4002788122305,548.0075692825272,530.8053032561635,476.0858861683278,466.4791611442634,142,236,245,310
4,anti,laboratory,ifx,mtx,infliximab,tnf,ibd,antibodies,inflammatory,assays,1358.4732187278971,821.40589771071,803.9587807738029,729.0499999782661,722.8307237961793,691.3069110752389,675.3543271135063,658.144300054741,621.9665935223721,620.5436698008631,68,152,199,332
5,group,weeks,symptoms,months,olanzapine,disorder,antipsychotic,placebo,depression,methadone,737.8468049412319,632.7201745428341,590.8296414014357,571.9181001139632,514.6245062387657,510.3230062888722,504.11600625919726,500.9909286597424,440.3738562760462,436.9154417782669,237,238,255,226
6,warfarin,inr,anticoagulation,oral,bleeding,hcv,dabigatran,anticoagulant,time,hepatitis,2692.049999997861,2594.9687268858547,1474.7109653157295,981.5097903131962,853.2574400994692,836.2329645316497,761.7480037423536,695.9772706628164,666.5423553883527,651.280166741534,160,298,461,286
7,pain,platelet,opioid,nurses,risk,clopidogrel,coronary,practice,chronic,aspirin,1245.8386749963174,743.4167845853318,731.5217536742898,643.9147657464251,477.1007541110533,456.35811881676403,449.27224810614837,444.9841093284331,443.93103691183137,415.2209582883519,287,387,197,106
8,adherence,data,hospital,health,compliance,pharmacists,medical,intervention,self,pharmacist,3090.6539119087356,934.0131835262251,906.2191699123252,855.5881898162744,828.4232963435971,770.1119716993899,764.7829076407958,678.3955314684164,646.4805428167842,640.0190396960053,290,384,345,249
9,pressure,heart,hypertension,bone,bp,baseline,failure,cardiac,months,changes,839.0516243945406,683.4311657380099,598.9462860996966,529.3721334778193,448.88341422768127,442.8710874358565,394.4176213033003,333.8920255171621,326.76126172835535,319.9123572587196,151,195,205,119
10,method,ms,samples,assay,liquid,chromatography,mass,lc,detection,quantification,4094.635396353308,3464.5665598237506,2619.882288393473,2257.926465035734,2102.458766195163,1736.2542026451833,1569.094947643087,1337.0366408403113,1278.1939297636989,1257.0615859289849,357,391,413,644
11,heparin,aptt,anti,xa,time,activity,bleeding,infusion,asthma,act,1741.7476909650766,986.6135120233264,873.3117823387054,802.0008072163585,718.4761113573729,659.7984451815473,646.6253136810309,613.8041156999112,587.1328916685427,554.9446651314634,205,240,231,262
12,auc,sampling,csa,dbs,curve,time,area,exposure,samples,correlation,2285.564174124208,1125.081316147568,827.7367462716572,755.9476508361328,732.8282621061155,716.6753128525348,700.3691050185313,669.0799452155806,658.5609541806521,628.2992393078613,138,189,150,202
13,group,vancomycin,groups,control,insulin,diabetes,placebo,randomized,trial,glucose,4593.564915345855,1943.7051450380568,1551.6612662872458,1297.3208347335337,1051.2759926576023,1049.7315138084257,969.7496621523837,809.9175077199584,770.9514914952161,763.2136596832148,134,163,305,322
14,hiv,clozapine,viral,antiretroviral,art,infected,load,cd4,failure,resistance,2416.3259698260576,1255.42877660611,1023.0702567502277,933.0681333612349,826.3035524095972,807.3775673935505,676.8815166459813,650.502825674464,440.47904673691903,438.5653942062238,108,243,195,136
15,adverse,cancer,reactions,chemotherapy,development,data,imaging,information,events,pet,1333.2095401350057,1109.6995722239321,715.3423838938589,708.5774804948526,579.3172646248229,563.4192586158173,513.5528480776836,480.59282228062705,465.0371209189623,457.8471045502239,244,310,287,226
16,hair,ldl,dose,drug,day,days,copd,combination,cholesterol,activity,404.33870077124107,289.6958024350615,288.38557298534823,285.6101791683747,275.64820624238416,233.654082281942,211.8730662176757,209.69470847773798,209.10759146211564,194.3706946997951,70,77,128,109
17,antibiotic,voriconazole,toxicity,infections,antibiotics,children,dosage,interactions,drug,agents,1131.1776260277495,1046.2463197676434,944.0813182156469,923.512435075876,882.4586814591781,867.8705711309027,766.0543994660247,764.5231594417137,739.3968003374166,693.7919379512745,386,407,422,543
18,pregnancy,women,sedation,vpa,infants,cbz,csf,propofol,neonates,ltg,900.3442381410495,830.6078229225698,823.7181388229257,562.5971005252185,491.2642942837109,474.0499999982553,454.5212521418831,396.97229757250324,335.2599143520448,329.0499999980546,170,169,107,117
19,model,pk,clearance,population,tb,data,tuberculosis,imatinib,cl,parameters,1931.5935264373525,1472.3923348035344,1166.0676925887656,1010.3806570096078,967.491253357417,861.4557959885775,697.4413332886445,695.3760860338131,642.1720786825767,566.798890707995,161,209,257,332
