,word0,word1,word2,word3,word4,word5,word6,word7,word8,word9,weight0,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,weight9,period I,period II,period III,period IV
0,methadone,clz,paroxetine,ven,enantiomers,tpm,duloxetine,odv,ami,venlafaxine,12.068674800747887,11.694364232418536,8.916885281081719,8.67549193086607,8.3429154659288,7.823866590996833,7.750571614626682,7.523112341650201,7.520443119501085,7.243556038954588,5,12,6,8
1,cbz,tb,isoniazid,inh,arc,tuberculosis,pyrazinamide,ethambutol,evr,antituberculosis,42.93435723994802,17.311515534730116,16.0152051446968,12.789933346833852,10.976733410073445,10.197940842880211,8.88312633318869,7.0828430735179975,6.383329963315713,5.701642570514818,10,2,8,3
2,csf,tgn,thiopurine,tpmt,mp,thioguanine,rbc,aza,azathioprine,adl,20.286548582302384,19.39343278014353,18.947650828190582,18.078468672225252,12.437756974483719,10.502149325187526,10.262841518961078,9.838248648028845,9.785428858549341,7.727986997670302,15,17,6,7
3,ris,dph,ari,dha,lor,clopidogrel,eps,dari,amg,vaccination,11.432663163700617,5.543809249741818,3.9528700695038426,3.5517167802492318,2.991174612357703,2.4875967012272384,2.03179375034032,1.8610329443611395,1.7036759460777051,1.6682048347093361,6,3,3,2
4,vancomycin,model,tacrolimus,mpa,auc,clearance,renal,pk,population,data,171.0192977811306,148.02844684834665,129.6978908792697,129.05310485770084,122.43131361450192,117.28215337738952,116.5011570569701,115.37865454442225,110.81612442522423,107.26830602891854,1332,1750,1925,1611
5,mitotane,lzd,ag,letermovir,isa,tzp,pkpd,dt,enprofylline,ivt,9.478944835270465,4.164458148241914,3.1269649192697306,3.0039960854823455,2.480352435825522,2.4199110815255325,2.362982714985958,2.1663534849651715,2.0112247426505054,1.9976160704987764,4,5,1,1
6,ld,methylphenidate,mph,megx,atorvastatin,cas,adhd,capd,statins,fn,4.483791138225105,4.20967459762344,3.8658088997057396,2.5717524750149225,2.3805221511089703,2.257246241351508,2.078074304907912,2.0619219043209815,2.031749802690918,2.031157353295362,5,2,1,5
7,clozapine,digoxin,saliva,cyp2d6,aeds,carbamazepine,olanzapine,antidepressants,epilepsy,antiepileptic,77.47043711820672,61.4071698226366,42.31191793861331,40.07004977430286,37.139543762975556,36.82032727525386,33.203964416556055,31.149038429614464,30.77723171443063,30.761476155771902,690,536,380,289
8,amiodarone,morphine,vcz,milk,mdma,pos,sled,sotalol,m3g,caz,9.786108991285944,8.385984184140172,8.331980561849493,6.558942542733751,6.025773101149703,4.309111304139371,4.162092544466292,4.152224711725627,3.830435412703158,3.7454468969721937,6,6,4,4
9,method,ms,assay,liquid,samples,phase,chromatography,detection,hplc,quantification,217.2348669539068,190.98315390032005,137.67810699384842,119.18727844844129,105.89073991801935,97.29219130508653,96.15798287551813,94.3668949855156,89.82578739085474,87.7557870629165,1036,877,779,546
10,infliximab,posaconazole,ibd,anti,ifx,tnf,pregnancy,remission,inflammatory,adalimumab,54.85770028413618,52.91453127149666,51.74662308234011,49.1128236890249,43.831348917042845,40.031327888084455,39.77671669368357,37.51252576459754,35.867169161057866,31.270531038340042,45,196,373,289
11,asparaginase,vrcz,abiraterone,asnase,teriflunomide,hypersensitivity,bromperidol,ponatinib,aspirin,enzalutamide,14.185375129619077,10.099137787662404,6.861266248032837,5.99580827488798,4.996811606533449,4.617180501182357,4.087388241609322,3.863684968792126,3.8033654213504247,3.7405527991715655,8,7,7,6
12,ganciclovir,ust,hcq,chloroquine,cmv,valganciclovir,oxycodone,mianserin,nt,napa,11.082546260062571,8.480158697566402,8.275082319119893,7.967225679907901,6.8017881442475145,5.431223632748402,5.2901677046322035,5.217161475095474,5.161982377563699,4.036575446899648,8,4,5,3
13,lev,im,mhd,quinine,oxc,megx,cp,zns,dasatinib,hal,14.58080936860885,8.655656781033505,8.031740060117583,6.905940867961031,6.005499069725189,5.705218659816496,5.338347876665991,5.183518199709085,5.049537737176134,4.692444744221999,3,4,5,2
