,word0,word1,word2,word3,word4,word5,word6,word7,word8,word9,weight0,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,weight9,period I,period II,period III,period IV
0,adverse,risk,associated,events,data,voriconazole,drug,years,cases,reactions,2675.0357077210833,2089.4377487681313,1446.8166848170733,1373.680700468644,1152.9063550721883,983.609161763926,974.6878246302723,939.1483833717994,918.6069391616365,871.5244695065497,2376,2110,1337,1059
1,tacrolimus,transplant,mpa,renal,transplantation,csa,recipients,auc,cyclosporine,liver,2511.1838830927163,1973.084028313949,1656.0999869297164,1601.2859584195687,1536.476668625741,1459.0989901634073,1421.0999188718672,1360.1542806527157,1170.097555423514,1111.5882126769623,315,547,292,277
2,group,cancer,chemotherapy,tb,tumor,cell,months,survival,groups,phase,1959.000208985321,1493.0211870265991,1029.7342447067326,954.6989340205296,948.7342456015587,917.7711239375654,903.6309082977798,797.6105340039165,796.8624388510194,712.9847126399936,261,396,609,562
3,method,ms,samples,assay,liquid,chromatography,detection,mass,lc,quantification,4287.226408692015,3468.099946385699,2970.1938533206558,2282.562122127365,2138.359348799825,1765.4905393901604,1655.6255385463987,1616.2682328508106,1337.0999506612532,1320.8996469240308,454,528,549,843
4,anti,clozapine,infliximab,ifx,inflammatory,remission,ibd,mtx,tnf,factor,1424.5686065891814,1067.4942406781913,959.0999874095694,834.0999927225271,782.7215554858609,758.7432142102115,752.7015357168241,728.4504840049597,709.0706975472186,705.1914191347931,117,213,290,492
5,vancomycin,model,data,children,population,pk,clearance,variability,age,group,2585.7794634069196,2387.8433360806143,1757.9013029366922,1695.6369135456837,1597.6678160845893,1583.4514145702803,1498.7341102238092,1333.2893634943985,1294.7754216678659,1202.625790363009,507,476,525,713
6,warfarin,inr,anticoagulation,antibiotic,group,bleeding,hcv,risk,infection,oral,2689.716253814207,2071.1656963995606,1463.7681697834437,1051.7709517411026,957.9008414147764,938.5131983531737,858.0999729190836,858.0944849777298,849.3015243540324,840.601527169372,246,382,660,515
7,health,pain,practice,hospital,medical,control,quality,insulin,system,pharmacists,1464.1790689075008,1386.7986279660993,1142.9157197124164,1018.7440437163625,1016.8755666655463,980.3710537721588,979.2458614585802,900.6921710762456,885.4292441078675,874.3619970930582,762,868,564,397
8,adherence,hiv,heparin,platelet,time,aptt,antiretroviral,group,art,anti,3063.1335848183403,2418.6768367248687,1754.0994568599506,1036.1416827921194,1004.6689079330795,987.1839509090812,938.099968399831,858.998255611612,828.0999410126765,804.8799090767302,295,588,433,362
9,group,baseline,pressure,months,phenytoin,epilepsy,groups,increased,heart,years,1213.8017324926273,915.5328260497894,759.2799875832561,719.4124832658965,680.0009973558385,660.7363852390988,621.4660995538134,602.4268484489625,596.6829853623262,586.1879955095903,330,363,457,323
