,word0,word1,word2,word3,word4,word5,word6,word7,word8,word9,weight0,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,weight9,period I,period II,period III,period IV
0,adverse,risk,events,associated,ci,reactions,cases,digoxin,years,data,2835.2120313019614,2236.0766432107407,1596.699535334214,1474.446341650348,1059.3448811124254,933.8259973499348,893.6993976956209,852.9185800529206,822.8837493807052,789.0538868866797,2188,1855,1104,833
1,tacrolimus,transplant,mpa,transplantation,csa,recipients,renal,liver,cyclosporine,tac,2511.670890387513,1959.6576831732054,1651.8840753656582,1470.8132326703753,1447.1325169173433,1408.7109516844716,1338.0968080908967,1194.0712713924988,1163.2093140991935,944.9773767896398,250,456,235,208
2,tb,cancer,imatinib,chemotherapy,tuberculosis,survival,pulmonary,phase,lung,chronic,936.7752443540473,879.3822430615529,693.6853261060451,678.1954491786806,672.5123735582746,669.3402411021547,543.8428612693581,467.2901903063228,442.893131005193,438.46115738532944,139,241,347,292
3,cells,cell,tumor,imaging,vivo,urine,cancer,expression,tissue,il,1070.5069835223048,870.4089897380571,863.8384446961302,724.7431597677183,651.9568502860097,623.4487960531035,601.0593651382042,583.7060894865396,507.7338441067917,490.4916118728784,194,300,315,359
4,anti,clozapine,laboratory,infliximab,data,ifx,mtx,tnf,ibd,testing,1324.0195264817514,1080.2610063122772,963.0108458646616,880.2395635060514,874.1273486597249,831.3139531244425,729.0706893169673,696.8652123472913,680.6841171603475,674.1806174197687,135,212,287,483
5,group,symptoms,children,disorder,depression,weeks,olanzapine,months,side,dbs,692.3598257884347,666.8783955219684,661.2172536027442,568.7924065914478,513.3607727434696,509.31242035482336,505.78457243647836,466.16517730403655,463.1891954924886,438.9842089526601,286,292,283,248
6,warfarin,inr,anticoagulation,oral,hcv,bleeding,dabigatran,hepatitis,time,anticoagulant,2692.071427812381,2617.364922266839,1426.799073468919,934.466963810373,858.0714280036938,777.5473139773499,730.8780532041188,716.3089805828024,716.0601596839289,633.1301717471581,187,318,507,292
7,health,pain,medical,practice,hospital,pharmacists,medications,quality,opioid,nurses,1307.1380259927546,1198.3108461000916,990.1007294446393,964.5465714397081,938.6884063714326,874.7748987676437,768.163015998619,721.8482024206066,707.4340546261978,700.263585866791,622,681,404,269
8,adherence,hiv,antiretroviral,viral,art,infected,cd4,load,resistance,data,3144.490707950779,2419.0516781071683,938.0714280990327,898.4959947571296,828.0714276451774,688.9101761092546,643.2236178397783,609.4087906339947,608.5517452524477,568.9546207065073,148,377,284,169
9,phenytoin,epilepsy,antiepileptic,carbamazepine,vpa,aeds,bone,cbz,acid,baseline,733.9821536217053,666.8419224396376,614.5220324331773,573.754766514469,564.0714280981194,523.7821281534482,523.2952348884133,474.0710913790467,447.3137477750883,433.897313151166,255,296,250,206
10,method,ms,samples,assay,liquid,chromatography,mass,lc,detection,quantification,4172.832900333196,3462.229376704402,2773.06224662987,2192.0714474643146,2091.823122831731,1720.1501349620019,1554.4521481741072,1336.8063336520183,1276.7232036783869,1239.327369037782,352,395,430,663
11,heparin,platelet,aptt,anti,time,bleeding,xa,infusion,surgery,activity,1753.6595788356078,1065.07142722616,988.0082407538115,876.8916943543705,864.9438737405092,838.990545664334,802.0714276567812,797.4296309012157,708.4583163010085,631.5309264158822,313,348,332,278
12,vancomycin,model,auc,pk,clearance,data,population,variability,target,exposure,2588.3738633794164,2302.3133288377308,1913.1931030065425,1745.0119513777831,1587.4495957784413,1560.0447624602841,1536.6016259976773,1423.613131105048,1386.4315413341667,1277.6815010515988,425,490,537,869
13,group,groups,control,placebo,baseline,insulin,weeks,randomized,diabetes,trial,4969.286569134904,1732.7116324908322,1374.3722986332475,1246.4396914544234,1100.569130804719,1015.5070090748751,1005.204487733612,976.5336263173581,938.3494927309763,916.6825132431819,169,210,401,374
